Time;Number of visible nodes;number of matched nodes;Score
76.407;14;13;92
77.636;12;11;91
78.003;11;10;90
78.589;11;10;90
79.831;11;10;90
80.7;11;10;90
81.722;12;11;91
82.362;13;12;92
83.198;14;13;92
84.257;15;14;93
84.856;15;14;93
85.351;15;14;93
86.701;15;14;93
88.48;15;14;93
89.653;15;14;93
91.329;15;14;93
92.09;15;14;93
92.798;15;14;93
93.43;15;14;93
96.141;15;14;93
