time;x;y;z;roll;pitch;yaw
24.047;0.10706049025295489;0.06782769134410775;2.5244699042394005;0.07615010178329384;0.05815005840025619;-0.09475474811334625
24.051;0.10857082021856608;0.06883209329452172;2.5248221024337365;0.07717726786412561;0.05900252595342312;-0.09606817428259277
24.053;0.10917495948098502;0.06923387482022107;2.5249629899685098;0.07758809739905201;0.05934387606530635;-0.09659311556582184
24.054;0.10675842737001835;0.06762681985026837;2.524399468133854;0.07594465271873913;0.05797972066595813;-0.09449187899840923
24.055;0.10690945346268321;0.06772725063103283;2.5244346923888696;0.07604699333619686;0.058064901268586204;-0.0946236169245386
24.058;0.10690945346268321;0.06772725063103283;2.5244346923888696;0.07604699333619686;0.058064901268586204;-0.0946236169245386
24.061;0.10721150616904566;0.0679281141945619;2.524505142088994;0.07625165176912167;0.0582353023558795;-0.0948870613555589
24.063;0.10706047968652439;0.06782768204170242;2.5244699170922935;0.07614932321991143;0.05815009532754517;-0.09475534677144559
24.089;0.10736253265560457;0.06802854686483939;2.5245403676894145;0.07635396018485158;0.0583205233198561;-0.09501877504558459
24.09;0.11128931587800464;0.07064005942719256;2.52545633250316;0.07901375683628041;0.06054079851659269;-0.09843778436046782
24.095;0.11144034952806475;0.07074051221583551;2.52549156590036;0.07911603883285587;0.060626368111846934;-0.098569078464291
24.13;0.11159138344051259;0.07084096574427896;2.5255267995932544;0.07921831951061149;0.06071195060117936;-0.0987003572821251
24.135;0.11385686302485876;0.07234780406150268;2.5260554141676987;0.08074789424381415;0.061997459870676896;-0.10067113849629351
24.141;0.11038310520889158;0.07003734566887836;2.52524495568089;0.07839898397359782;0.06002770571725069;-0.09765050494828409
24.153;0.11128928478194292;0.0706400320554243;2.525456370303819;0.07901146193006278;0.06054091615016992;-0.09843954119918684
24.162;0.11038310520889158;0.07003734566887836;2.52524495568089;0.07839898397359782;0.06002770571725069;-0.09765050494828409
24.172;0.11174237810611223;0.07094138524263228;2.525562081598248;0.0793176829994771;0.06079769537177788;-0.0988338533996176
24.183;0.11053413448346774;0.07013779154868627;2.5252801907143514;0.07850106695318614;0.060113208549064705;-0.09778204911877839
24.188;0.11219547239092803;0.07124274385453525;2.5256677972561747;0.07962378858330808;0.06105459599558225;-0.09922810738412285
24.194;0.11295063649257252;0.07174502449823979;2.5258439938651596;0.08013406363461148;0.061483014417880094;-0.0998847963358039
24.204;0.11385684211405676;0.07234778566685494;2.5260554395654395;0.08074635014014776;0.06199754080726878;-0.10067231941160554
24.208;0.11536720597781466;0.07335244670990698;2.5264078727963826;0.0817667223834283;0.06285611191040762;-0.10198363639689673
24.215;0.11310167010312684;0.0718454828452322;2.5258792340746745;0.08023611468235846;0.06156873668636999;-0.10001608834246457
24.226;0.1137057985129254;0.0722473159950188;2.5260202084086156;0.08064366531920976;0.06191178814535942;-0.10054159312069819
24.228;0.11582028128410818;0.07365382511559948;2.526513655915621;0.08206992616845649;0.0631140846703782;-0.1023789389059735
24.259;0.1161223544983114;0.0738547668027808;2.5265841531668842;0.08227365665304419;0.0632860463019618;-0.10264117285867494
24.309;0.12080462610923287;0.07696973991985195;2.5276770130888995;0.0854308105300213;0.06595798408347721;-0.10669799165236213
24.316;0.12382542470996881;0.07897963554398714;2.5283824294098176;0.08745524738225109;0.06768892788664821;-0.1093165274087246
24.324;0.12291915044764136;0.07837661557716383;2.528170820091889;0.086846250356952;0.06716920433325758;-0.10853292349167337
24.329;0.12404275787270089;0.07919203754521381;2.5284352166387705;0.08756357075775341;0.06776991623150976;-0.10944152171995315
24.335;0.12474501929501572;0.07970169442606903;2.5286004719778763;0.08801186460859918;0.06814567711346499;-0.11000901604565858
24.34;0.12558773990534583;0.08031330110118037;2.5287987860090317;0.08854978543573847;0.06859691061618033;-0.11068962371502189
24.349;0.12629001284590113;0.08082298867041951;2.528964054063305;0.08899802635973636;0.06897320531805443;-0.11125647542439022
24.361;0.12755411738189137;0.08174046141337635;2.5292615511581777;0.08980479965175522;0.0696511462292188;-0.11227607209114057
24.379;0.12923961667412265;0.0829638285776317;2.5296582432060415;0.09088037711122582;0.07055628644693748;-0.11363406089690191
24.39;0.1317679228585105;0.08479902949289482;2.530253344160136;0.09249348715956204;0.07191660283521976;-0.11566788487544495
24.402;0.12909915723656407;0.08286187825292814;2.529625184256371;0.09079075088961269;0.07048080494859385;-0.11352095949886767
24.409;0.12938006770486676;0.08306577206318796;2.529691312621813;0.09096937497614155;0.07063181497806692;-0.1137476368164455
24.41;0.1320488500261901;0.08500295181693171;2.53031947115807;0.09267270273262958;0.07206794177202844;-0.11589363118488875
24.423;0.1323297653129541;0.08520686545007101;2.5303856141886594;0.09285098739068837;0.07221937403322982;-0.11612005018852928
24.425;0.13345343343990404;0.08602254085770006;2.530650197499892;0.09356397344552578;0.07282549430659617;-0.11702534822629965
24.444;0.13359389291887952;0.08612450278277217;2.53068327146374;0.09365309241711259;0.07290130249189462;-0.11713845804409129
24.445;0.1358412614265812;0.08775595844822053;2.531212501334816;0.09507796545820756;0.07411559366175337;-0.11894732462866098
24.468;0.135981722794498;0.0878579282898127;2.5312455813682924;0.09516693952527723;0.07419157280090632;-0.11906033558190643
24.471;0.13738634393498897;0.08887765339903414;2.5315763998263257;0.09605630591707622;0.07495191027329896;-0.120190052469231
24.482;0.1389314408661594;0.0899994052700272;2.5319403406612184;0.09703367269964602;0.0757894363580254;-0.12143203285766858
24.491;0.13949330081216366;0.09040733164349461;2.5320726898318724;0.09738905055206816;0.07609427667933881;-0.12188331281538956
