Time;Number of visible nodes;number of matched nodes;Score
135.074;14;5;35
136.533;12;6;50
137.454;8;5;62
137.69;6;2;33
137.895;6;2;33
138.089;6;2;33
138.249;6;2;33
139.265;7;5;71
139.959;7;5;71
143.338;11;5;45
146.812;6;3;50
147.484;6;3;50
148.176;6;3;50
148.768;6;3;50
149.013;6;3;50
150.347;6;3;50
150.931;6;3;50
151.205;6;3;50
151.463;6;3;50
152.062;6;3;50
152.624;6;3;50
153.322;6;3;50
153.721;6;3;50
153.994;6;3;50
154.656;6;3;50
154.938;6;3;50
155.301;6;3;50
